HRS_1	CGCG	VCC	UGC	NGC	IC	Dist_Mpc	Type	E_BV	a	b	pa	FUVasy	e_FUVasy	NUVasy	e_NUVasy	logMstart	Flag12	S12	err12	Flag22	S22	err22	Flag100	S100	err100	Flag160	S160	err160	Flag250	S250	err_tot250	Flag350	S350	err_tot350	Flag500	S500	err_tot500	Npix250	Npix350	Npix500	err_inst250	err_inst350	err_inst500	err_conf250	err_conf350	err_conf500	err_sky250	err_sky350	err_sky500	Note
1	123035	0	0	0	0	16.79	13	0.031	47.87	40.09	170	-99.99	-99.99	17.68	0.031	8.72	1	29.47	2.46	1	21.24	3.56	1	7.48E-01	1.69E-01	1	9.32E-01	7.90E-02	1	498.3	37.2	1	210.8	29.1	1	79.3	17.5	163	92	41	6.7	5	4	21.2	17.4	12.7	29.8	22.8	11.3	-
2	124004	0	5588	0	0	18.44	5	0.023	46.89	45.4	40	16.322	0.059	15.878	0.03	8.77	1	89.9	2.08	1	78.96	7.19	1	2.44E+00	2.27E-01	1	2.81E+00	1.79E-01	1	1163	58.5	1	482.7	36.2	1	153	18.2	185	102	45	7.9	5.6	4.2	22.6	18.3	13.3	53.3	30.8	11.7	-
3	94026	0	5617	3226	0	16.7	0	-99.99	39.36	38.96	15	-99.99	-99.99	-99.99	-99.99	10.21	1	57.34	2.01	1	42.69	6.57	0	0.00E+00	0.00E+00	2	8.46E-01	8.70E-02	1	580.9	33.8	1	241.8	23.9	1	79.9	13.8	135	75	32	3.5	2.5	2	19.3	15.7	11.2	27.5	17.9	7.7	-
4	94028	0	5620	3227	0	16.4	3	0.023	117.04	97.78	155	-99.99	-99.99	-99.99	-99.99	10.26	1	1145.72	16.37	1	1823.09	35.59	2	1.76E+01	1.10E+00	2	2.27E+01	1.16E+00	1	12674.1	209.9	1	5240.7	140.6	1	1815.2	68.2	993	560	251	16.2	8.7	6.2	52.4	42.9	31.5	202.6	133.6	60.2	-
5	94052	0	0	0	610	16.71	7	0.02	80.78	47.99	28	-99.99	-99.99	-99.99	-99.99	9.62	1	114.02	3.28	1	108.32	10.98	1	4.50E+00	3.31E-01	1	5.56E+00	5.28E-01	1	2741.4	57	1	1139.8	44.6	1	361.6	24.5	340	192	86	13.6	7.9	5.6	30.6	25.1	18.3	46.1	36	15.3	-
6	154016	0	5662	3245	0	18.89	5	-99.99	125.18	45.68	150	17.499	0.052	17.005	0.032	8.94	1	11.9	2.3	1	12.32	0.11	1	2.75E-01	1.40E-01	1	4.83E-01	8.50E-02	1	619.3	71.6	1	385.1	62.7	1	183.4	38.3	501	281	127	10.9	8	6.5	37.2	30.4	22.4	60.2	54.3	30.4	-
7	154017	0	5663	3245	0	18.77	1	-99.99	20	20	0	18.205	0.058	16.347	0.037	10.29	1	103.9	3.21	1	192.48	9.6	1	3.47E+00	2.06E-01	1	2.84E+00	1.51E-01	2	1238.6	5	2	478.3	5	2	149.7	8	456	256	114	0	0	0	0	0	0	0	0	0	-
8	154020	0	5685	3254	0	19.37	6	-99.99	210.42	66.36	46	14.818	0.05	14.514	0.03	9.88	1	134.9	7.67	1	100.72	28.66	1	2.88E+00	1.09E+00	1	4.64E+00	1.04E+00	1	3982.1	299.1	1	2251.9	150.7	1	1021	55.7	1216	685	301	17.2	12.8	10.7	58	47.5	34.5	292.9	142.5	42.4	-
9	154026	0	5731	3277	0	20.21	4	-99.99	81.9	73.08	25	16.173	0.05	15.495	0.031	10.08	1	92.18	3.84	1	61.74	12.48	1	1.95E+00	3.97E-01	1	3.04E+00	5.23E-01	1	1433.8	84.2	1	580.5	60.2	1	183	31.3	526	296	133	11.3	8.6	6.9	38.1	31.2	22.9	74.2	50.8	20.2	-
10	183028	0	5738	0	0	21.66	5	0.027	55.58	43.33	30	-99.99	-99.99	-99.99	-99.99	8.71	1	40	1.52	1	38.95	4.88	1	1.17E+00	2.38E-01	1	7.88E-01	9.40E-02	1	683.4	44.1	1	300.4	29.4	1	102.5	20.1	207	115	53	7.2	5.6	4.4	23.9	19.5	14.5	36.4	21.3	13.2	-
11	124038	0	5742	3287	0	18.93	9	0.023	87.78	41.16	20	15.42	0.053	14.962	0.03	9.45	1	171.03	4.46	1	158.96	17.08	1	5.19E+00	3.00E-01	1	6.15E+00	4.09E-01	1	3442.2	70.4	1	1608	48.4	1	610.5	25.2	317	182	79	10.4	7.7	5.5	29.6	24.5	17.7	63	41	17.1	-
12	124041	0	0	0	0	19.89	17	0.023	28.56	22.26	20	16.928	0.132	16.589	0.031	8.47	1	12.44	0.98	1	15.47	4.05	1	6.13E-01	5.40E-02	1	4.92E-01	5.00E-02	1	268.2	15.7	1	118.2	11	2	51.8	9	55	29	13	3.7	2.9	0	12.3	9.8	0	8.9	4	0	-
