   42.8559 0    42.2333 1      32794 1
   43.8535 1    43.2369 1    44354.6 1
   43.2216 1    42.5678 1     6561.4 1
   43.6518 1    43.0483 1    39735.6 1
   42.8798 1    42.5706 1    23745.8 1
   42.7132 0    42.7137 0    43471.9 1
   42.9683 1     42.659 1    32797.3 1
   44.2591 1    43.6889 1      16328 1
   43.1101 0    42.2128 1    35085.4 1
   42.9014 0    42.6821 0    29930.4 1
   43.5373 1    42.9292 1    10886.8 1
   43.7153 1     43.185 1    25163.2 1
   42.9639 0    42.3445 1    27593.9 1
   42.7737 1    42.2237 0    27128.1 1
   42.9966 1    42.5014 1    12525.7 1
   43.3012 1     42.639 1    4311.09 1
   43.0294 1    42.5435 1    9561.92 1
   43.3225 1    42.7427 1    12.7449 1
   42.6669 0    42.6559 1    13999.8 1
   43.1306 1    42.8499 1    20995.6 1
   42.7262 1    42.2276 1    12508.8 1
   43.8122 1    43.2618 1    37934.1 1
   43.9577 1    43.3149 1    42143.9 1
   42.5755 1    42.5172 0    10881.2 1
   43.4062 1    42.8412 1    16565.5 1
   43.3834 1    42.9198 1        484 1
   42.9811 1    42.5486 1    6177.67 1
   42.6127 1    41.8779 1    3304.38 1
   43.2242 0    42.9259 1    32009.8 1
   43.3377 1    42.8858 1    1555.36 1
   43.5207 1    43.2586 1    5452.24 1
   43.6909 1    43.4281 1    37102.6 1
   43.9298 1    43.4377 1      45892 1
   44.2044 1    43.6941 1    45583.4 1
   43.7927 1    43.2702 1    12495.9 1
   42.9813 0    43.5098 0      21703 1
   43.7003 1    43.3751 1    12129.6 1
   43.2427 1    42.9511 1    15504.5 1
   42.6884 1     42.019 1     2880.1 1
   42.2031 1    41.5005 1    4990.86 1
   43.1317 1    42.8798 1    9548.06 1
   43.5598 1    43.2752 1    10856.2 1
   43.5148 1    43.2877 1    11931.5 1
   43.9279 1    43.3973 1    22736.8 1
   43.3867 1    43.1023 1    13353.4 1
   44.1827 1    43.4877 1    13195.3 1
   43.5656 1    43.2004 1    34597.2 1
   42.5789 0    42.2171 0    14738.9 1
   43.5312 1    42.8695 1    4987.14 1
   43.3944 1    42.7813 1    9024.14 1
   43.6393 1    42.9785 1    7580.47 1
    43.375 1    43.0667 1    2668.71 1
   43.5292 1    42.9115 1    5404.96 1
   42.6763 1    42.3131 1     650.25 1
   43.0574 1    42.6832 1    5379.15 1
   43.2897 1    42.8826 1    2403.58 1
   43.1177 1    42.5685 1    3673.06 1
    43.684 1    43.1502 1    26520.5 1
   43.6799 1    43.1318 1    16282.3 1
   44.0727 1    43.4438 1    44872.4 1
   43.5731 1    43.1507 1    26074.6 1
   43.1624 1    42.7143 1      19789 1
   43.6776 1    42.9638 1    14967.4 1
   43.1368 1    42.6479 1    57.9121 1
   43.8854 1    43.5156 1    5569.04 1
   42.4044 1    42.0452 1    3075.43 1
    43.253 1    42.9066 1    7293.53 1
   43.4204 1    42.8498 1     6683.3 1
    43.537 1    43.2185 1    13195.3 1
   43.7276 1    43.3322 1    9789.42 1
   42.4712 0     41.993 0    6722.26 1
   42.8077 1    42.5438 1       5281 1
   43.6008 1    42.8637 1    5147.16 1
   42.1572 1    41.3909 1    1338.22 1
   43.2461 1    42.7072 1    17139.6 1
   44.0016 1    43.3058 1    10737.2 1
   43.4121 1    42.9687 1      11883 1
   43.9428 1    43.4721 1    22909.7 1
   43.4132 1    42.7061 1    4627.59 1
   43.7259 1    43.0774 1    12779.1 1
   43.0011 1     42.812 1    8619.42 1
   43.2589 1    42.9759 1    25460.7 1
   43.9703 1      43.59 1    21756.1 1
   42.8459 1    42.2502 1    3410.75 1
   43.0945 1    42.3962 1    2293.79 1
   43.4105 1    42.7407 1    11163.7 1
   43.2896 1    42.5928 1    3422.25 1
   42.7389 1    42.1549 1    20680.1 1
   43.5264 1    43.1512 1    36293.1 1
   42.5321 0    42.4731 0    24593.3 1
   41.8301 1    41.4804 1     376.36 1
   43.1857 1    42.7666 1    3924.98 1
   42.5661 1    42.4349 1    3462.01 1
   44.1999 1    43.6653 1        324 1
   43.1733 1    42.5471 1    1267.36 1
    42.684 1    42.5778 1     566.44 1
    43.435 1    42.8178 1     998.56 1
   43.3698 1    42.9632 1    3955.76 1
   44.1669 1    43.6482 1     665.64 1
   42.9771 1    42.5494 1    1056.25 1
   43.5248 1    42.8987 1    2124.36 1
   43.3959 1    43.0791 1    2925.72 1
   43.3562 1    43.0101 1    5784.37 1
   42.3752 1    41.9995 1     190.44 1
    43.302 1    42.7469 1     992.25 1
    43.072 1    42.5047 1     282.24 1
   43.4372 1    43.0025 1     2601.1 1
   43.4995 1    43.4379 1    2005.71 1
   42.2415 1    42.1863 1        196 1
   43.1716 1    42.9479 1    12041.6 1
   43.5868 1    43.3031 1     342.25 1
   43.8279 1    43.1767 1    7218.38 1
   43.5534 1     43.002 1    8977.12 1
   43.0507 1    42.7565 1    10026.8 1
   41.6351 1    41.1075 1     272.25 1
   43.1977 1     42.837 1     954.81 1
   42.8438 1    42.2674 1     470.89 1
   43.8757 1    43.3636 1     5368.2 1
    44.021 1    43.5806 1    11841.4 1
   43.2783 1    42.7986 1     615.04 1
   43.7495 1    43.3556 1    1892.25 1
   44.1671 1    43.6391 1    12097.3 1
   43.6597 1    43.1639 1     243.36 1
   44.7154 1    44.0053 1    11409.1 1
   43.2324 1    42.8666 1     171.61 1
   43.8193 1    43.1346 1    13401.8 1
   43.5161 1    42.9977 1    1149.21 1
   43.7635 1     43.394 1     992.25 1
   43.7838 1    43.1762 1     349.69 1
   44.0493 1    43.3724 1    5531.06 1
   42.6046 1    42.6281 1    3465.61 1
   43.5366 1    43.4188 1    44821.8 1
    42.912 0    42.7194 0    48191.7 1
   43.4837 1    43.0073 1    5080.59 1
   43.5581 1    43.0107 1    8025.12 1
   43.9177 1    43.3319 1    11905.3 1
   43.5263 1    43.0368 1    16290.3 1
   43.5716 1    43.3017 1    15304.8 1
   43.6538 1    43.3076 1    5435.38 1
    43.143 1    42.6291 1    5732.97 1
   44.1315 1    43.4637 1    33343.4 1
