   43.1048 1    42.5753 0    37934.1 1
   43.4545 1    42.6683 0    16119.5 1
   43.6688 1    42.9703 0    26551.4 1
   42.8559 0    42.3953 0      32794 1
   43.8535 1    42.7687 1    44354.6 1
   43.7136 1    42.5436 1    23602.8 1
   43.2216 1    42.0295 1     6561.4 1
   43.6518 1    42.6047 1    39735.6 1
   42.2966 0    41.6403 0    4805.95 1
   42.8798 1    42.5247 0    23745.8 1
   42.9966 0    42.8672 0      22147 1
   42.7132 0    42.6167 0    43471.9 1
   42.9683 1    42.4221 0    32797.3 1
   44.2591 1    43.1604 1      16328 1
    43.037 0    42.5534 0    43090.3 1
   42.8935 0    42.2159 0    26761.2 1
   43.1101 0     42.605 0    35085.4 1
   43.1245 0    42.7976 0      29586 1
   42.9014 0    42.4211 0    29930.4 1
   43.2082 1    42.3295 0    26551.4 1
   43.5373 1    42.3733 1    10886.8 1
   43.2035 1     42.114 1    20930.4 1
   43.7153 1     42.671 1    25163.2 1
   43.8084 1    42.6456 1    14626.4 1
   42.8117 1    41.6413 1      10081 1
   43.1814 1    42.4845 1    34109.2 1
   41.6959 0    41.4016 0    2789.95 1
   42.4979 0    41.9138 0    10458.6 1
   43.0924 0    42.5384 0    42521.1 1
   42.9639 0    42.4227 0    27593.9 1
     44.14 1    42.9834 1    39022.3 1
   42.7737 1    42.2319 0    27128.1 1
   42.7523 0    42.5179 0    18474.2 1
    43.441 1    42.5623 0    34463.5 1
     43.34 1    42.1494 1    1959.21 1
   43.1707 1    42.4726 1    31197.1 1
   43.6218 1    42.6755 1    26727.1 1
   42.9966 1    42.0978 0    12525.7 1
   43.3584 1    42.7783 1    41054.6 1
   43.3012 1    42.0917 1    4311.09 1
   43.8533 1    43.0039 1    21009.9 1
   43.4576 1    42.5069 1    28837.3 1
   42.5017 0    42.1969 0    17245.3 1
   43.7368 1    42.8062 1    20624.5 1
   43.1151 0    42.4803 1    32539.2 1
   43.0294 1    42.0587 1    9561.92 1
   42.5203 0    41.9778 0      11114 1
   42.1237 0    41.6625 0    8425.93 1
   43.3225 1    42.2093 1    12.7449 1
   42.6669 0    42.3764 1    13999.8 1
   43.0467 1    41.9927 1    8654.77 1
   42.9563 1    42.0891 1    14872.5 1
   43.1306 1    42.3848 1    20995.6 1
   42.7262 1    41.7506 1    12508.8 1
   43.8122 1    42.7295 1    37934.1 1
   43.9577 1    42.7668 1    42143.9 1
   42.5755 1      42.27 0    10881.2 1
   43.4062 1    42.4756 1    16565.5 1
   43.0429 1    42.0487 1    11714.9 1
   43.2513 0    42.8102 0    44711.1 1
   43.3834 1    42.4368 1        484 1
   42.9294 0    42.2353 1    14590.8 1
   42.9811 1    42.2276 0    6177.67 1
   42.6127 1    41.3993 1    3304.38 1
   43.2242 0    42.4684 1    32009.8 1
   43.3377 1    42.3549 1    1555.36 1
   43.5207 1    42.7761 1    5452.24 1
   43.8961 1    42.9122 1    26712.4 1
   43.9298 1    42.9614 1      45892 1
   44.2044 1    43.2212 1    45583.4 1
   43.0015 0    42.1561 0      40653 1
   44.1743 1    43.2725 1    31967.6 1
   43.7927 1    42.7572 1    12495.9 1
   42.9813 0    43.1916 0      21703 1
   43.7003 1    42.8958 1    12129.6 1
   43.8554 1    42.6989 1     4230.9 1
   43.0979 1    41.9512 1    2895.58 1
   43.2427 1    42.5018 1    15504.5 1
   42.6884 1    41.5929 1     2880.1 1
   43.5849 1    42.6932 1    11860.7 1
   42.2031 1    41.6828 0    4990.86 1
   43.1317 1    42.5263 0    9548.06 1
   43.5598 1    42.7808 1    10856.2 1
   42.5552 0    41.8108 0    10522.2 1
    43.628 1    42.6903 1    11763.1 1
   42.8129 1    41.8285 1    3072.53 1
   43.5148 1    42.8271 1    11931.5 1
    43.326 1    42.2986 1    12869.9 1
   43.9279 1    42.8728 1    22736.8 1
    43.636 1    42.9827 1    9513.47 1
   43.3867 1    42.6345 1    13353.4 1
   43.2854 1     42.105 1    3932.11 1
   44.1827 1    42.9756 1    13195.3 1
   43.5656 1    42.6943 1    34597.2 1
   42.5789 0    42.0068 0    14738.9 1
   43.5312 1      42.32 1    4987.14 1
   43.7267 1     42.786 1      23718 1
   43.7834 1    42.7466 1    19185.9 1
   43.3944 1    42.2991 1    9024.14 1
   43.6393 1    42.4226 1    7580.47 1
   43.1721 1    42.3362 1    3768.07 1
   43.7763 1     42.645 1    43502.5 1
   43.6632 1    42.6564 1      13800 1
    43.375 1    42.6173 1    2668.71 1
   43.5292 1    42.3501 1    5404.96 1
   42.6763 1    41.8278 1     650.25 1
   44.1884 1    42.9701 1    16381.7 1
   43.1686 0    42.4781 0    37999.9 1
   43.0235 1    41.9271 1    4844.97 1
   43.0574 1    42.1641 1    5379.15 1
   43.2897 1    42.4047 1    2403.58 1
   43.1177 1    42.3086 0    3673.06 1
    43.684 1    42.7446 0    26520.5 1
   42.8032 1    42.3201 0    22682.5 1
   43.6799 1    42.6039 1    16282.3 1
   44.0727 1    42.8911 1    44872.4 1
   43.4459 1    42.2884 1    28290.4 1
   42.9935 1    42.5115 0    6025.72 1
   43.4437 1    42.7886 0    47387.1 1
   43.5842 1    42.4499 1    20996.9 1
   43.2029 1    42.0523 1    22999.9 1
   42.7946 0     42.337 0    28138.2 1
   42.5574 0    41.5204 1    9864.99 1
   43.2554 1    42.4333 1    35801.2 1
    43.876 1    42.7537 1    24955.8 1
   42.9632 0    42.4635 0    47788.5 1
   43.5731 1    42.6334 1    26074.6 1
   43.1624 1    42.3061 1      19789 1
   43.6776 1    42.4097 1    14967.4 1
   43.1368 1    42.1609 1    57.9121 1
   43.8854 1    43.0525 1    5569.04 1
   42.4044 1    41.7783 0    3075.43 1
   42.2337 1    41.4984 0    4747.73 1
    43.253 1    42.4398 1    7293.53 1
   43.4204 1    42.3435 1     6683.3 1
    43.537 1    42.7349 1    13195.3 1
   43.7276 1    42.8523 1    9789.42 1
   42.4712 0    41.5962 0    6722.26 1
   42.8077 1    42.1027 1       5281 1
   43.1946 1    42.5225 0    20464.7 1
   43.8991 1    43.0068 1    25605.2 1
   43.4528 1    43.1108 0    15504.5 1
    43.324 1    42.6731 1    41581.5 1
   43.6008 1    42.3077 1    5147.16 1
   42.1572 1    40.8348 1    1338.22 1
   42.2812 1    40.9927 1    1114.61 1
   43.2461 1    42.2192 1    17139.6 1
   44.0016 1    42.6886 1    10737.2 1
   43.4121 1    42.4136 1      11883 1
   43.9428 1    42.9836 1    22909.7 1
   43.3835 1    42.4385 1    16119.5 1
   43.2575 1     42.641 1    20157.2 1
   44.0271 1    43.1198 1    25034.3 1
    43.495 1    42.3444 1    10063.2 1
   43.4132 1    42.1312 1    4627.59 1
   43.7259 1    42.5699 1    12779.1 1
   43.0011 1    42.3292 1    8619.42 1
   43.7919 1    42.9808 1    7940.66 1
   43.2589 1    42.5455 1    25460.7 1
   43.9703 1    43.0713 1    21756.1 1
   43.8624 1    43.0943 1    16410.4 1
   42.9608 1    42.6456 1    35205.1 1
   42.8459 1     41.717 1    3410.75 1
   42.6397 1    41.7176 1    7230.38 1
   43.7266 1    42.7975 1    25292.3 1
   43.0945 1    41.8801 1    2293.79 1
   43.4105 1    42.2432 1    11163.7 1
    42.745 1    42.0844 0    8364.36 1
   43.5179 1    42.3819 1    17811.2 1
   42.6399 1    42.1637 0    16781.6 1
   43.2896 1    42.0406 1    3422.25 1
   42.6323 1    41.9432 0    12682.6 1
   41.9192 0    41.5229 0    4145.84 1
   43.2758 1    42.0383 1    5693.09 1
   42.7389 1    42.3114 0    20680.1 1
   43.6597 1    42.4096 1      27633 1
   42.5232 0    41.8799 0    10437.7 1
   43.8011 1    42.5655 1    22859.3 1
   43.7492 1    42.9436 1    13291.6 1
   43.2122 1    42.3087 0    13912.3 1
   43.1512 1    42.2114 1    6681.14 1
   44.2516 1    43.1307 1      24459 1
   43.5264 1    42.7253 1    36293.1 1
   42.9705 1    42.1315 0    16386.3 1
   42.5321 0    42.4072 0    24593.3 1
   44.0768 1    42.9032 1    16944.4 1
   43.3158 1    42.0473 1    3127.49 1
   43.6972 1    42.7888 1    9341.46 1
   43.8637 1    42.6795 1    19033.3 1
