   42.2633 1    41.7447 0    2690.38 1
   42.8559 0    42.1866 0      32794 1
   43.8535 1    42.2048 0    44354.6 1
   43.4365 1    42.2213 0    25808.1 1
   43.2216 1     41.551 0     6561.4 1
   43.6518 1    42.2824 0    39735.6 1
    43.109 1    42.2541 0    2369.52 1
   42.8798 1    42.0145 0    23745.8 1
   42.7132 0    42.3465 0    43471.9 1
   42.9683 1    42.2136 0    32797.3 1
   43.4166 0    42.4174 0    16581.6 1
   44.2591 1    42.5676 1      16328 1
   43.1101 0    42.3613 0    35085.4 1
   42.9014 0    42.1735 0    29930.4 1
   43.5373 1    41.7422 1    10886.8 1
   43.7153 1    42.0201 1    25163.2 1
   42.4386 0    42.2586 0    15004.6 1
   42.9639 0    42.1444 0    27593.9 1
   42.7737 1    42.0247 0    27128.1 1
   42.9966 1    41.8801 0    12525.7 1
    42.728 0    42.6014 0    3888.31 1
   43.3012 1    41.4566 1    4311.09 1
   43.0294 1    41.6756 0    9561.92 1
   43.3225 1    41.6369 1    12.7449 1
   42.6669 0    41.7624 0    13999.8 1
   43.1306 1    41.9434 0    20995.6 1
   42.7262 1    41.6011 0    12508.8 1
   43.8122 1    42.1078 0    37934.1 1
   43.9577 1    42.2022 1    42143.9 1
   42.5755 1    41.7854 0    10881.2 1
   43.4062 1    41.9303 0    16565.5 1
   43.4898 1    42.0746 1       5773 1
   43.3834 1    41.8913 1        484 1
   42.9811 1    41.5701 1    6177.67 1
   42.6127 1     41.322 0    3304.38 1
   43.2242 0    42.1446 0    32009.8 1
   43.3377 1    41.7201 1    1555.36 1
   43.5207 1    42.1321 1    5452.24 1
   43.6909 1    42.5088 1    37102.6 1
   43.9298 1    42.3998 0      45892 1
   44.2044 1    42.6113 1    45583.4 1
   43.7927 1    42.0249 1    12495.9 1
   42.9813 0    42.3966 0      21703 1
   43.7003 1    42.2468 1    12129.6 1
   43.2427 1    41.9662 1    15504.5 1
   42.6884 1    41.1904 0     2880.1 1
   42.2031 1    41.6157 0    4990.86 1
   43.1317 1    42.0993 0    9548.06 1
   43.5598 1    42.1366 1    10856.2 1
   43.5148 1    42.1715 0    11931.5 1
   43.9279 1    42.2381 1    22736.8 1
   43.3867 1    42.1048 1    13353.4 1
   44.1827 1    42.3473 1    13195.3 1
   43.5656 1    42.4124 0    34597.2 1
   42.5789 0     41.866 0    14738.9 1
   43.5312 1    41.6718 1    4987.14 1
   43.3944 1    41.8953 1    9024.14 1
   43.6393 1    41.7915 1    7580.47 1
    43.375 1    42.0522 1    2668.71 1
   43.5292 1     41.631 1    5404.96 1
   42.6763 1    41.2113 1     650.25 1
   43.7486 1    42.4346 1    4972.27 1
