   42.2333 1    43.7853 1      32794 1
   43.2369 1    43.7473 1    44354.6 1
   42.5678 1    43.0808 1     6561.4 1
   43.0483 1    44.0567 1    39735.6 1
   42.5706 1    44.2393 1    23745.8 1
   42.7137 0    44.2626 1    43471.9 1
    42.659 1    43.6813 1    32797.3 1
   43.6889 1    43.8299 1      16328 1
   42.2128 1    43.9076 1    35085.4 1
   42.6821 0    43.6692 1    29930.4 1
   42.9292 1    43.5122 1    10886.8 1
    43.185 1    43.8062 1    25163.2 1
   42.3445 1    43.7158 1    27593.9 1
   42.2237 0    43.6556 1    27128.1 1
   42.5014 1    43.3008 1    12525.7 1
    42.639 1    43.1467 1    4311.09 1
   42.5435 1    43.5295 1    9561.92 1
   42.7427 1    42.3275 1    12.7449 1
   42.6559 1    43.5153 1    13999.8 1
   42.8499 1    43.4056 1    20995.6 1
   42.2276 1    43.1325 1    12508.8 1
   43.2618 1    43.7787 1    37934.1 1
   43.3149 1    43.7646 1    42143.9 1
   42.5172 0    43.4718 1    10881.2 1
   42.8412 1     43.747 1    16565.5 1
   42.9198 1    42.2903 1        484 1
   42.5486 1    43.1983 1    6177.67 1
   41.8779 1    43.6474 1    3304.38 1
   42.9259 1    44.0331 1    32009.8 1
   42.8858 1    42.7212 1    1555.36 1
   43.2586 1    43.1698 1    5452.24 1
   43.4281 1    43.9749 1    37102.6 1
   43.4377 1    43.9531 1      45892 1
   43.6941 1    43.6345 1    45583.4 1
   43.2702 1    43.1233 1    12495.9 1
   43.5098 0    43.9646 1      21703 1
   43.3751 1    43.9999 1    12129.6 1
   42.9511 1    43.5728 1    15504.5 1
    42.019 1     42.815 1     2880.1 1
   41.5005 1    43.2644 1    4990.86 1
   42.8798 1    43.4464 1    9548.06 1
   43.2752 1    42.9415 1    10856.2 1
   43.2877 1    44.1285 1    11931.5 1
   43.3973 1    43.6959 1    22736.8 1
   43.1023 1    43.3383 1    13353.4 1
   43.4877 1    43.6009 1    13195.3 1
   43.2004 1    43.7549 1    34597.2 1
   42.2171 0    43.3906 1    14738.9 1
   42.8695 1    43.0929 1    4987.14 1
   42.7813 1    43.7011 1    9024.14 1
   42.9785 1    43.1111 1    7580.47 1
   43.0667 1    42.6608 1    2668.71 1
   42.9115 1    43.0975 1    5404.96 1
   42.3131 1    42.1911 1     650.25 1
   42.6832 1    43.4393 1    5379.15 1
   42.8826 1    43.3209 1    2403.58 1
   42.5685 1    42.9601 1    3673.06 1
   43.1502 1     43.548 1    26520.5 1
   43.1318 1    43.3912 1    16282.3 1
   43.4438 1    44.0189 1    44872.4 1
   43.1507 1    44.1102 1    26074.6 1
   42.7143 1    43.7647 1      19789 1
   42.9638 1    43.9355 1    14967.4 1
   42.6479 1    41.1843 1    57.9121 1
   43.5156 1    43.1847 1    5569.04 1
   42.0452 1    42.6742 1    3075.43 1
   42.9066 1    43.5527 1    7293.53 1
   42.8498 1    43.0502 1     6683.3 1
   43.2185 1    43.2124 1    13195.3 1
   43.3322 1    43.5844 1    9789.42 1
    41.993 0    42.8585 1    6722.26 1
   42.5438 1    43.2185 1       5281 1
   42.8637 1     43.275 1    5147.16 1
   41.3909 1    43.5089 1    1338.22 1
   42.7072 1    43.3923 1    17139.6 1
   43.3058 1    43.2339 1    10737.2 1
   42.9687 1    43.3742 1      11883 1
   43.4721 1     43.621 1    22909.7 1
   42.7061 1    42.9672 1    4627.59 1
   43.0774 1    43.3318 1    12779.1 1
    42.812 1    43.3113 1    8619.42 1
   42.9759 1     43.733 1    25460.7 1
     43.59 1    43.5273 1    21756.1 1
   42.2502 1    43.3476 1    3410.75 1
   42.3962 1     42.526 1    2293.79 1
   42.7407 1    43.4733 1    11163.7 1
   42.5928 1    43.7627 1    3422.25 1
   42.1549 1    43.9052 1    20680.1 1
   43.1512 1    43.5932 1    36293.1 1
   42.4731 0    43.6067 1    24593.3 1
   41.4804 1    42.1246 1     376.36 1
   42.7666 1    42.9425 1    3924.98 1
   42.4349 1    43.1819 1    3462.01 1
   43.6653 1    42.3965 1        324 1
   42.5471 1    43.6858 1    1267.36 1
   42.5778 1    41.9594 1     566.44 1
   42.8178 1    42.5083 1     998.56 1
   42.9632 1    42.9619 1    3955.76 1
   43.6482 1    42.4209 1     665.64 1
   42.5494 1     43.023 1    1056.25 1
   42.8987 1    43.3429 1    2124.36 1
   43.0791 1    42.9603 1    2925.72 1
   43.0101 1    43.1916 1    5784.37 1
   41.9995 1     41.836 1     190.44 1
   42.7469 1    42.2985 1     992.25 1
   42.5047 1    42.9722 1     282.24 1
   43.0025 1    43.7684 1     2601.1 1
   43.4379 1    42.7776 1    2005.71 1
   42.1863 1    41.6831 1        196 1
   42.9479 1    43.8882 1    12041.6 1
   43.3031 1    41.3554 1     342.25 1
   43.1767 1    43.2472 1    7218.38 1
    43.002 1    43.2254 1    8977.12 1
   42.7565 1     44.141 1    10026.8 1
   41.1075 1    41.6571 1     272.25 1
    42.837 1    42.3423 1     954.81 1
   42.2674 1    43.1341 1     470.89 1
   43.3636 1    43.0923 1     5368.2 1
   43.5806 1    43.3566 1    11841.4 1
   42.7986 1    42.8155 1     615.04 1
   43.3556 1    42.6593 1    1892.25 1
   43.6391 1    43.8023 1    12097.3 1
   43.1639 1    41.7707 1     243.36 1
   44.0053 1    43.9949 1    11409.1 1
   42.8666 1    42.3111 1     171.61 1
   43.1346 1    43.4896 1    13401.8 1
   42.9977 1    43.3725 1    1149.21 1
    43.394 1    42.3854 1     992.25 1
   43.1762 1    42.5297 1     349.69 1
   43.3724 1    43.0009 1    5531.06 1
   42.6281 1    43.5225 1    3465.61 1
   43.4188 1    43.9153 1    44821.8 1
   42.7194 0    43.6722 1    48191.7 1
   43.0073 1    42.9434 1    5080.59 1
   43.0107 1    43.2691 1    8025.12 1
   43.3319 1    43.2787 1    11905.3 1
   43.0368 1    43.4729 1    16290.3 1
   43.3017 1     43.497 1    15304.8 1
   43.3076 1    43.0977 1    5435.38 1
   42.6291 1    43.1342 1    5732.97 1
   43.4637 1    43.6475 1    33343.4 1
