   42.6059 0     42.001 0    37934.1 1
   42.5179 0    42.1111 0    16119.5 1
   42.8116 0    42.2276 0    26551.4 1
   42.3406 0     42.429 0    31168.3 1
   42.4713 0    42.0496 0    7564.34 1
    41.168 0    40.7938 0     213.15 1
   42.9185 0     42.422 0    41581.5 1
   42.7056 1    42.2317 0    23602.8 1
   42.1854 0    42.3559 0    25098.7 1
   41.3447 0    41.3185 0    4805.95 1
   42.5477 1    42.0667 1      22147 1
   42.4709 0      42.19 0    43090.3 1
   43.7116 0     43.333 0    29742.3 1
   42.0256 0    41.9273 0    26761.2 1
   42.2761 0    42.2195 0      29586 1
   42.3515 0    42.1023 0    26551.4 1
   42.2575 1    41.7869 0    20930.4 1
   42.7244 1    42.0532 1    14626.4 1
   41.6383 1    41.5661 0      10081 1
   42.4711 1    42.2446 0    34109.2 1
   41.4026 0    41.0137 0    2789.95 1
   41.6671 0    41.8219 0    10458.6 1
   42.3534 0    42.2447 0    42521.1 1
   42.9607 1    42.3523 1    39022.3 1
   42.3391 0    42.1043 0    18474.2 1
   42.4658 1    42.0519 0    34463.5 1
    42.148 1    41.4804 1    1959.21 1
   42.4388 0     42.221 0    31197.1 1
   42.6875 1    42.0814 0    26727.1 1
   42.2869 0    41.8659 0    13425.5 1
   42.3192 1    42.2471 1    11908.2 1
   42.7749 1    42.6325 1    41054.6 1
   43.5367 1    43.4612 1    46391.5 1
   43.0396 1    42.7773 1    21009.9 1
    42.714 0    42.4115 0    3103.11 1
   42.4943 1    42.0339 1    28837.3 1
   42.0443 0    41.7982 0    17245.3 1
   42.7795 1    42.2093 1    20624.5 1
   42.6047 1    42.1903 0    32539.2 1
   42.0863 0    41.8961 0      11114 1
   41.5341 0    41.3396 0    8425.93 1
   43.2707 0    42.9337 0    8678.65 1
   41.9188 1    41.4239 0    8654.77 1
   42.2085 0    41.9808 0    14872.5 1
   41.9911 1    41.7094 0    11714.9 1
   42.6976 0    42.2282 1    44711.1 1
   42.2171 1    41.5546 0    14590.8 1
    42.874 1    42.2904 0    26712.4 1
   42.2565 0    42.1749 0      40653 1
   43.3163 0    42.7619 0    31967.6 1
   42.6889 1    42.0414 1     4230.9 1
   41.9401 1    41.4613 1    2895.58 1
   42.6576 1    42.0227 1    11860.7 1
   42.6732 1    42.0921 1    11763.1 1
   41.8418 1    41.3271 1    3072.53 1
   42.2925 1    41.8757 0    12869.9 1
   43.0035 1    42.4409 1    9513.47 1
   42.1588 1    41.4037 1    3932.11 1
    42.747 1    42.3354 0      23718 1
   42.7851 1    42.2292 0    19185.9 1
   42.3357 1    41.8229 0    3768.07 1
   42.6694 1    42.1426 0    43502.5 1
   42.7574 1    42.7612 1    37934.1 1
   42.6204 1    42.0344 1      13800 1
    42.975 1    42.3029 1    16381.7 1
   42.3042 0    42.2432 0    37999.9 1
   41.9274 1    41.5699 0    4844.97 1
   42.0886 0    42.1362 0    22682.5 1
   42.3318 0    41.8687 0    28290.4 1
   42.3147 0    41.8433 0    6025.72 1
   42.5607 0    42.5541 0    47387.1 1
   42.3586 0     42.309 0    20996.9 1
   42.0524 1     42.182 0    22999.9 1
   42.2882 0    42.2993 0    28138.2 1
   42.0296 0    41.8518 0    9864.99 1
   42.4371 0    42.3219 0    35801.2 1
    42.781 1    42.0969 0    24955.8 1
   42.5003 0    42.2411 0    47788.5 1
   41.4756 0    41.2445 0    4747.73 1
   42.4992 0    41.8517 0    20464.7 1
   42.9923 1    42.4933 1    25605.2 1
   42.6714 1    42.0848 0    15504.5 1
   42.7229 1    42.2935 0    41581.5 1
   41.0903 0    40.7745 0    1114.61 1
   42.4354 1    42.0317 1    16119.5 1
   42.5785 1    42.1747 1    20157.2 1
   43.0997 1      42.47 1    25034.3 1
   42.9683 1    42.3584 1    7940.66 1
   43.0725 1     42.532 1    16410.4 1
   42.6391 1    42.2943 1    35205.1 1
   41.8893 1    41.6478 0    7230.38 1
   42.7733 1    42.1683 1    25292.3 1
    41.834 0     41.539 0    8364.36 1
   42.4409 1    41.8363 0    17811.2 1
    42.109 0    41.8405 0    16781.6 1
   41.6723 0    41.5414 0    12682.6 1
   41.4776 0     41.275 0    4145.84 1
   42.1112 1    41.6836 0    5693.09 1
   42.4154 1    42.0657 0      27633 1
   41.8186 1    41.6337 0    10437.7 1
   42.5509 1    41.9026 0    22859.3 1
   42.9432 1    42.3161 1    13291.6 1
   42.2259 0    41.9689 0    13912.3 1
   42.2467 1    41.6663 0    6681.14 1
   43.0987 1    42.5775 1      24459 1
   42.1687 0    41.8022 0    16386.3 1
   42.8863 1    42.1557 1    16944.4 1
   42.1145 1    41.4512 1    3127.49 1
    42.713 1    42.1473 1    9341.46 1
    42.768 1    42.0587 1    19033.3 1
   42.1423 0    42.0027 0    25706.5 1
   42.4608 1    41.8572 0    12228.7 1
   42.8054 1    42.3362 0    43204.6 1
   43.1093 1    42.4855 0    48665.8 1
   42.5217 1    41.8619 0    9375.73 1
   42.5508 1    41.9825 1    13219.8 1
   42.5553 1    41.9378 1     696.96 1
   41.3655 1    41.0787 0    1513.21 1
   42.2575 1     41.594 1    1482.25 1
   42.4397 1    41.8285 1     292.41 1
   41.3583 1    40.7465 1     125.44 1
   41.5132 1    40.9366 1     992.25 1
   42.0899 1    41.5069 1    2584.67 1
    42.949 1    42.2983 1    10143.5 1
   42.3204 1    41.6483 1    4014.91 1
   41.9107 1    41.4347 0    6887.32 1
   42.2717 1    41.6676 0    5554.62 1
   42.2099 0    41.9614 0    25417.5 1
   42.4451 1    41.8528 1        484 1
   42.4251 1    41.8053 1    4157.13 1
   41.8125 1    41.2062 1     210.25 1
    43.213 1    42.5097 1       5007 1
   42.9603 1    42.3217 1    16720.2 1
   42.9608 1    42.3855 1    5217.35 1
   43.1905 1     42.728 1    36425.4 1
   42.3107 0    42.3021 0    34463.5 1
   43.1699 1    43.1043 1    23769.4 1
   41.9617 1    42.0007 0    17158.4 1
   42.5213 0     42.082 0    44588.9 1
   41.9281 0    41.4791 0    4053.85 1
   42.7859 0    42.3762 0    8890.12 1
   42.4667 1    41.8343 1    3049.82 1
   41.9288 1    41.3334 0    5519.95 1
   41.2003 0    40.8005 0    787.119 1
   42.2162 0    42.0761 0    20607.7 1
   42.1242 1    42.1045 0    11361.7 1
   42.5539 0    42.2697 0    4812.04 1
   41.5055 0    41.0244 0    4593.64 1
   42.4432 0    42.2672 0    23173.9 1
