   42.5753 0    43.6668 1    37934.1 1
   42.6683 0    44.0872 1    16119.5 1
   42.9703 0    44.1516 1    26551.4 1
   42.5436 1     43.549 1    23602.8 1
   41.6403 0    42.9456 1    4805.95 1
   42.8672 0    43.8913 1      22147 1
   42.5534 0    43.9516 1    43090.3 1
   42.2159 0    43.6885 1    26761.2 1
   42.7976 0    43.5154 1      29586 1
   42.3295 0    43.7387 1    26551.4 1
    42.114 1    44.1266 1    20930.4 1
   42.6456 1    43.4346 1    14626.4 1
   41.6413 1    43.0778 1      10081 1
   42.4845 1     43.994 1    34109.2 1
   41.4016 0    42.7776 1    2789.95 1
   41.9138 0    43.3341 1    10458.6 1
   42.5384 0    44.0879 1    42521.1 1
   42.9834 1     44.166 1    39022.3 1
   42.5179 0    44.0056 1    18474.2 1
   42.5623 0    44.0003 1    34463.5 1
   42.1494 1    42.7367 1    1959.21 1
   42.4726 1    43.7522 1    31197.1 1
   42.6755 1    43.8262 1    26727.1 1
   42.7783 1    43.7137 1    41054.6 1
   43.0039 1    44.3765 1    21009.9 1
   42.5069 1    43.6073 1    28837.3 1
   42.1969 0    43.9462 1    17245.3 1
   42.8062 1    44.2386 1    20624.5 1
   42.4803 1    43.9012 1    32539.2 1
   41.9778 0    43.3851 1      11114 1
   41.6625 0     43.297 1    8425.93 1
   41.9927 1    43.1563 1    8654.77 1
   42.0891 1    43.2968 1    14872.5 1
   42.0487 1    43.4007 1    11714.9 1
   42.8102 0    43.9227 1    44711.1 1
   42.2353 1    43.3366 1    14590.8 1
   42.9122 1    44.2414 1    26712.4 1
   42.1561 0    44.1595 1      40653 1
   43.2725 1    43.9122 1    31967.6 1
   42.6989 1    43.2254 1     4230.9 1
   41.9512 1    43.2337 1    2895.58 1
   42.6932 1    43.4061 1    11860.7 1
   42.6903 1    43.7225 1    11763.1 1
   41.8285 1     42.731 1    3072.53 1
   42.2986 1     43.341 1    12869.9 1
   42.9827 1    43.6584 1    9513.47 1
    42.105 1    43.3221 1    3932.11 1
    42.786 1    43.6821 1      23718 1
   42.7466 1     43.823 1    19185.9 1
   42.3362 1    43.2616 1    3768.07 1
    42.645 1    44.4122 1    43502.5 1
   42.6564 1    43.7269 1      13800 1
   42.9701 1    43.3869 1    16381.7 1
   42.4781 0     43.852 1    37999.9 1
   41.9271 1    44.2268 1    4844.97 1
   42.3201 0    43.6167 1    22682.5 1
   42.2884 1     43.853 1    28290.4 1
   42.5115 0    43.8163 1    6025.72 1
   42.7886 0    44.0172 1    47387.1 1
   42.4499 1    44.2155 1    20996.9 1
   42.0523 1    43.8388 1    22999.9 1
    42.337 0    43.7159 1    28138.2 1
   41.5204 1    43.3892 1    9864.99 1
   42.4333 1    43.6501 1    35801.2 1
   42.7537 1    43.6524 1    24955.8 1
   42.4635 0    44.4686 1    47788.5 1
   41.4984 0    43.2484 1    4747.73 1
   42.5225 0    43.6356 1    20464.7 1
   43.0068 1    43.7662 1    25605.2 1
   43.1108 0    43.4031 1    15504.5 1
   42.6731 1    43.9925 1    41581.5 1
   40.9927 1    42.9277 1    1114.61 1
   42.4385 1    43.4388 1    16119.5 1
    42.641 1    43.9845 1    20157.2 1
   43.1198 1    43.4693 1    25034.3 1
   42.9808 1    44.1028 1    7940.66 1
   43.0943 1    43.4645 1    16410.4 1
   42.6456 1    44.1442 1    35205.1 1
   41.7176 1    42.9914 1    7230.38 1
   42.7975 1    43.7609 1    25292.3 1
   42.0844 0    42.9084 1    8364.36 1
   42.3819 1    43.9231 1    17811.2 1
   42.1637 0    43.6713 1    16781.6 1
   41.9432 0    43.4472 1    12682.6 1
   41.5229 0    43.1739 1    4145.84 1
   42.0383 1    42.9583 1    5693.09 1
   42.4096 1    43.6789 1      27633 1
   41.8799 0    43.4518 1    10437.7 1
   42.5655 1    44.4214 1    22859.3 1
   42.9436 1    43.4254 1    13291.6 1
   42.3087 0      43.26 1    13912.3 1
   42.2114 1    43.6864 1    6681.14 1
   43.1307 1     43.718 1      24459 1
   42.1315 0    43.8134 1    16386.3 1
   42.9032 1    43.4287 1    16944.4 1
   42.0473 1    42.9108 1    3127.49 1
   42.7888 1    43.7179 1    9341.46 1
   42.6795 1    43.7719 1    19033.3 1
   42.2112 0    44.0406 1    25706.5 1
   42.3763 1    43.3126 1    12228.7 1
   42.7525 1    44.7716 1    43204.6 1
   43.0596 1    43.9838 1    48665.8 1
   42.5853 1    43.7297 1    9375.73 1
   42.5575 1    43.4017 1    13219.8 1
   42.5252 1    42.9637 1     696.96 1
   41.3004 1    43.3309 1    1513.21 1
   42.2577 1    43.5077 1    1482.25 1
    42.464 1    42.1417 1     292.41 1
   41.3669 1    42.9092 1     125.44 1
   41.4961 1    42.5876 1     992.25 1
   42.1084 1    42.8075 1    2584.67 1
    42.969 1    42.9316 1    10143.5 1
   42.2921 1    42.8227 1    4014.91 1
   42.0452 0    43.7186 1    6887.32 1
   42.2634 1    43.7192 1    5554.62 1
   42.4723 1    42.6522 1        484 1
   42.4933 1    43.4238 1    4157.13 1
   41.7702 1    42.0261 1     210.25 1
   43.3641 1    43.6028 1       5007 1
   42.9676 1    44.0031 1    16720.2 1
   42.9767 1     43.579 1    5217.35 1
   43.2606 1    44.1443 1    36425.4 1
   42.4716 0    43.7926 1    34463.5 1
   43.1786 1    44.0417 1    23769.4 1
   41.9835 1    43.8268 1    17158.4 1
   42.6355 0    43.8806 1    44588.9 1
   42.5018 1    42.5677 1    3049.82 1
   41.9294 1    43.1515 1    5519.95 1
   42.2171 0    43.6027 1    20607.7 1
   41.6385 0    43.2491 1    4593.64 1
