   41.9536 0     42.769 1    2690.38 1
   42.4243 0    43.7853 1      32794 1
   42.8044 1    43.7473 1    44354.6 1
   42.8183 0     43.811 1    25808.1 1
   42.1496 0    43.0808 1     6561.4 1
   42.6495 0    44.0567 1    39735.6 1
   42.3564 0    43.1781 1    2369.52 1
   42.6047 0    44.2393 1    23745.8 1
   42.4509 0    44.2626 1    43471.9 1
   42.4858 0    43.6813 1    32797.3 1
   42.7713 0     43.668 1    16581.6 1
   43.1827 1    43.8299 1      16328 1
   42.2722 0    43.9076 1    35085.4 1
   42.3516 0    43.6692 1    29930.4 1
   42.3472 1    43.5122 1    10886.8 1
   42.5996 1    43.8062 1    25163.2 1
   42.5375 0    43.2358 1    15004.6 1
   42.1558 0    43.7158 1    27593.9 1
   42.3555 0    43.6556 1    27128.1 1
    42.124 0    43.3008 1    12525.7 1
   43.0536 0    43.1237 1    3888.31 1
   42.1348 1    43.1467 1    4311.09 1
   42.1475 1    43.5295 1    9561.92 1
   42.1977 1    42.3275 1    12.7449 1
    42.489 0    43.5153 1    13999.8 1
   42.3404 1    43.4056 1    20995.6 1
   41.8562 0    43.1325 1    12508.8 1
   42.7145 1    43.7787 1    37934.1 1
   42.7492 1    43.7646 1    42143.9 1
   42.2268 0    43.4718 1    10881.2 1
   42.3677 1     43.747 1    16565.5 1
    42.783 1    43.2555 1       5773 1
   42.4497 1    42.2903 1        484 1
   41.9688 1    43.1983 1    6177.67 1
    41.348 1    43.6474 1    3304.38 1
   42.5439 1    44.0331 1    32009.8 1
   42.3586 1    42.7212 1    1555.36 1
   42.7397 1    43.1698 1    5452.24 1
   42.9837 1    43.9749 1    37102.6 1
   42.9825 1    43.9531 1      45892 1
   43.1982 1    43.6345 1    45583.4 1
   42.7595 1    43.1233 1    12495.9 1
   43.0023 0    43.9646 1      21703 1
   42.8901 1    43.9999 1    12129.6 1
   42.5022 1    43.5728 1    15504.5 1
   41.6389 1     42.815 1     2880.1 1
   41.7832 0    43.2644 1    4990.86 1
   42.4643 1    43.4464 1    9548.06 1
   42.7635 1    42.9415 1    10856.2 1
   42.7751 1    44.1285 1    11931.5 1
   42.8317 1    43.6959 1    22736.8 1
   42.6683 1    43.3383 1    13353.4 1
   42.9747 1    43.6009 1    13195.3 1
   42.6902 1    43.7549 1    34597.2 1
   41.9567 0    43.3906 1    14738.9 1
   42.3541 1    43.0929 1    4987.14 1
   42.3703 1    43.7011 1    9024.14 1
   42.4354 1    43.1111 1    7580.47 1
   42.6109 1    42.6608 1    2668.71 1
   42.3288 1    43.0975 1    5404.96 1
   41.8106 1    42.1911 1     650.25 1
   43.0714 1    43.2197 1    4972.27 1
   42.1568 1    43.4393 1    5379.15 1
   42.3916 1    43.3209 1    2403.58 1
   42.2858 0    42.9601 1    3673.06 1
   42.6156 1     43.548 1    26520.5 1
   42.5261 1    43.3912 1    16282.3 1
   42.9734 1    44.0189 1    44872.4 1
   42.6723 1    44.1102 1    26074.6 1
   42.3802 0    43.7647 1      19789 1
   42.4473 1    43.9355 1    14967.4 1
   42.3562 1    41.1843 1    57.9121 1
    43.084 1    43.1847 1    5569.04 1
   41.5178 0    42.6742 1    3075.43 1
   42.4308 1    43.5527 1    7293.53 1
   42.3508 1    43.0502 1     6683.3 1
   42.7618 1    43.2124 1    13195.3 1
   42.8616 1    43.5844 1    9789.42 1
   41.8212 0    42.8585 1    6722.26 1
   42.1148 0    43.2185 1       5281 1
    42.362 1     43.275 1    5147.16 1
   40.9866 0    43.5089 1    1338.22 1
   42.2838 1    43.3923 1    17139.6 1
   42.8165 1    43.2339 1    10737.2 1
   42.3934 1    43.3742 1      11883 1
   42.9636 1     43.621 1    22909.7 1
   42.7173 1    43.5288 1    3620.23 1
   42.2278 1    42.9672 1    4627.59 1
   42.5636 1    43.3318 1    12779.1 1
   42.4215 0    43.3113 1    8619.42 1
   42.4538 1     43.733 1    25460.7 1
   43.0767 1    43.5273 1    21756.1 1
   41.6889 1    43.3476 1    3410.75 1
   41.8422 1     42.526 1    2293.79 1
   42.2603 1    43.4733 1    11163.7 1
   42.0589 1    43.7627 1    3422.25 1
    42.117 1    43.8999 1    4242.31 1
   42.2639 0    43.9052 1    20680.1 1
   42.7057 1    43.5932 1    36293.1 1
   42.1472 0    43.6067 1    24593.3 1
   41.2271 0    42.1246 1     376.36 1
   42.2206 1    42.9425 1    3924.98 1
   42.1857 0    42.6677 1    2228.76 1
   42.0827 1    43.1819 1    3462.01 1
   43.1387 1    42.3965 1        324 1
    42.027 1    43.6858 1    1267.36 1
   41.9622 1    41.9594 1     566.44 1
   42.2944 1    42.5083 1     998.56 1
   42.4446 1    42.9619 1    3955.76 1
   43.1249 1    42.4209 1     665.64 1
    42.075 1     43.023 1    1056.25 1
   42.3344 1    43.3429 1    2124.36 1
   42.5206 1    42.9603 1    2925.72 1
   42.5755 1    43.1916 1    5784.37 1
   42.1277 1    42.5385 1       1600 1
   41.4773 1     41.836 1     190.44 1
   42.1967 1    42.2985 1     992.25 1
   41.9769 1    42.9722 1     282.24 1
   42.4944 1    43.7684 1     2601.1 1
   42.9461 1    42.7776 1    2005.71 1
     41.73 1    41.6831 1        196 1
   42.4832 1    43.8882 1    12041.6 1
   42.7791 1    41.3554 1     342.25 1
   42.6398 1    43.2472 1    7218.38 1
   42.4636 1    43.2254 1    8977.12 1
   42.3377 0     44.141 1    10026.8 1
   40.7505 1    41.6571 1     272.25 1
   42.3396 1    42.3423 1     954.81 1
   41.7307 1    43.1341 1     470.89 1
   42.8393 1    43.0923 1     5368.2 1
   43.0568 1    43.3566 1    11841.4 1
   42.3098 1    42.8155 1     615.04 1
   42.8471 1    42.6593 1    1892.25 1
   43.0897 1    43.8023 1    12097.3 1
   42.6007 1    41.7707 1     243.36 1
   43.4542 1    43.9949 1    11409.1 1
   42.3396 1    42.3111 1     171.61 1
    42.605 1    43.4896 1    13401.8 1
   42.4746 1    43.3725 1    1149.21 1
   42.8684 1    42.3854 1     992.25 1
   42.6288 1    42.5297 1     349.69 1
   42.8035 1    43.0009 1    5531.06 1
   42.0989 1    43.5225 1    3465.61 1
   43.3366 1    43.9153 1    44821.8 1
   42.2808 0    43.6722 1    48191.7 1
   42.4735 1    42.9434 1    5080.59 1
   42.7948 1    42.9815 1    4698.28 1
   42.4866 1    43.2691 1    8025.12 1
   42.8094 1    43.2787 1    11905.3 1
   42.5635 1    43.7254 1    25896.7 1
   42.5958 0    43.4729 1    16290.3 1
   42.8589 1    43.8827 1    33132.7 1
     42.85 1     43.497 1    15304.8 1
   42.7929 1    43.0977 1    5435.38 1
   42.2229 1    43.1342 1    5732.97 1
   42.8692 1    43.6475 1    33343.4 1
   43.0123 0    43.4757 1    6108.67 1
