    42.001 0    43.6668 1    37934.1 1
   42.1111 0    44.0872 1    16119.5 1
   42.2276 0    44.1516 1    26551.4 1
    42.429 0     44.277 1    31168.3 1
   42.0496 0    43.5226 1    7564.34 1
   40.7938 0    42.0131 1     213.15 1
    42.422 0    43.7394 1    41581.5 1
   42.2317 0     43.549 1    23602.8 1
   42.3559 0    43.5894 1    25098.7 1
   41.3185 0    42.9456 1    4805.95 1
   42.0667 1    43.8913 1      22147 1
     42.19 0    43.9516 1    43090.3 1
    43.333 0    44.0208 1    29742.3 1
   41.9273 0    43.6885 1    26761.2 1
   42.2195 0    43.5154 1      29586 1
   42.1023 0    43.7387 1    26551.4 1
   41.7869 0    44.1266 1    20930.4 1
   42.0532 1    43.4346 1    14626.4 1
   41.5661 0    43.0778 1      10081 1
   42.2446 0     43.994 1    34109.2 1
   41.0137 0    42.7776 1    2789.95 1
   41.8219 0    43.3341 1    10458.6 1
   42.2447 0    44.0879 1    42521.1 1
   42.3523 1     44.166 1    39022.3 1
   42.1043 0    44.0056 1    18474.2 1
   42.0519 0    44.0003 1    34463.5 1
   41.4804 1    42.7367 1    1959.21 1
    42.221 0    43.7522 1    31197.1 1
   42.0814 0    43.8262 1    26727.1 1
   41.8659 0    43.5037 1    13425.5 1
   42.2471 1    43.5013 1    11908.2 1
   42.6325 1    43.7137 1    41054.6 1
   43.4612 1    44.8138 1    46391.5 1
   42.7773 1    44.3765 1    21009.9 1
   42.4115 0    43.6043 1    3103.11 1
   42.0339 1    43.6073 1    28837.3 1
   41.7982 0    43.9462 1    17245.3 1
   42.2093 1    44.2386 1    20624.5 1
   42.1903 0    43.9012 1    32539.2 1
   41.8961 0    43.3851 1      11114 1
   41.3396 0     43.297 1    8425.93 1
   42.9337 0     44.082 1    8678.65 1
   41.4239 0    43.1563 1    8654.77 1
   41.9808 0    43.2968 1    14872.5 1
   41.7094 0    43.4007 1    11714.9 1
   42.2282 1    43.9227 1    44711.1 1
   41.5546 0    43.3366 1    14590.8 1
   42.2904 0    44.2414 1    26712.4 1
   42.1749 0    44.1595 1      40653 1
   42.7619 0    43.9122 1    31967.6 1
   42.0414 1    43.2254 1     4230.9 1
   41.4613 1    43.2337 1    2895.58 1
   42.0227 1    43.4061 1    11860.7 1
   42.0921 1    43.7225 1    11763.1 1
   41.3271 1     42.731 1    3072.53 1
   41.8757 0     43.341 1    12869.9 1
   42.4409 1    43.6584 1    9513.47 1
   41.4037 1    43.3221 1    3932.11 1
   42.3354 0    43.6821 1      23718 1
   42.2292 0     43.823 1    19185.9 1
   41.8229 0    43.2616 1    3768.07 1
   42.1426 0    44.4122 1    43502.5 1
   42.7612 1    44.6148 1    37934.1 1
   42.0344 1    43.7269 1      13800 1
   42.3029 1    43.3869 1    16381.7 1
   42.2432 0     43.852 1    37999.9 1
   41.5699 0    44.2268 1    4844.97 1
   42.1362 0    43.6167 1    22682.5 1
   41.8687 0     43.853 1    28290.4 1
   41.8433 0    43.8163 1    6025.72 1
   42.5541 0    44.0172 1    47387.1 1
    42.309 0    44.2155 1    20996.9 1
    42.182 0    43.8388 1    22999.9 1
   42.2993 0    43.7159 1    28138.2 1
   41.8518 0    43.3892 1    9864.99 1
   42.3219 0    43.6501 1    35801.2 1
   42.0969 0    43.6524 1    24955.8 1
   42.2411 0    44.4686 1    47788.5 1
   41.2445 0    43.2484 1    4747.73 1
   41.8517 0    43.6356 1    20464.7 1
   42.4933 1    43.7662 1    25605.2 1
   42.0848 0    43.4031 1    15504.5 1
   42.2935 0    43.9925 1    41581.5 1
   40.7745 0    42.9277 1    1114.61 1
   42.0317 1    43.4388 1    16119.5 1
   42.1747 1    43.9845 1    20157.2 1
     42.47 1    43.4693 1    25034.3 1
   42.3584 1    44.1028 1    7940.66 1
    42.532 1    43.4645 1    16410.4 1
   42.2943 1    44.1442 1    35205.1 1
   41.6478 0    42.9914 1    7230.38 1
   42.1683 1    43.7609 1    25292.3 1
    41.539 0    42.9084 1    8364.36 1
   41.8363 0    43.9231 1    17811.2 1
   41.8405 0    43.6713 1    16781.6 1
   41.5414 0    43.4472 1    12682.6 1
    41.275 0    43.1739 1    4145.84 1
   41.6836 0    42.9583 1    5693.09 1
   42.0657 0    43.6789 1      27633 1
   41.6337 0    43.4518 1    10437.7 1
   41.9026 0    44.4214 1    22859.3 1
   42.3161 1    43.4254 1    13291.6 1
   41.9689 0      43.26 1    13912.3 1
   41.6663 0    43.6864 1    6681.14 1
   42.5775 1     43.718 1      24459 1
   41.8022 0    43.8134 1    16386.3 1
   42.1557 1    43.4287 1    16944.4 1
   41.4512 1    42.9108 1    3127.49 1
   42.1473 1    43.7179 1    9341.46 1
   42.0587 1    43.7719 1    19033.3 1
   42.0027 0    44.0406 1    25706.5 1
   41.8572 0    43.3126 1    12228.7 1
   42.3362 0    44.7716 1    43204.6 1
   42.4855 0    43.9838 1    48665.8 1
   41.8619 0    43.7297 1    9375.73 1
   41.9825 1    43.4017 1    13219.8 1
   41.9378 1    42.9637 1     696.96 1
   41.0787 0    43.3309 1    1513.21 1
    41.594 1    43.5077 1    1482.25 1
   41.8285 1    42.1417 1     292.41 1
   40.7465 1    42.9092 1     125.44 1
   40.9366 1    42.5876 1     992.25 1
   41.5069 1    42.8075 1    2584.67 1
   42.2983 1    42.9316 1    10143.5 1
   41.6483 1    42.8227 1    4014.91 1
   41.4347 0    43.7186 1    6887.32 1
   41.6676 0    43.7192 1    5554.62 1
   41.9614 0    43.5742 1    25417.5 1
   41.8528 1    42.6522 1        484 1
   41.8053 1    43.4238 1    4157.13 1
   41.2062 1    42.0261 1     210.25 1
   42.5097 1    43.6028 1       5007 1
   42.3217 1    44.0031 1    16720.2 1
   42.3855 1     43.579 1    5217.35 1
    42.728 1    44.1443 1    36425.4 1
   42.3021 0    43.7926 1    34463.5 1
   43.1043 1    44.0417 1    23769.4 1
   42.0007 0    43.8268 1    17158.4 1
    42.082 0    43.8806 1    44588.9 1
   41.4791 0    43.2587 1    4053.85 1
   42.3762 0     43.686 1    8890.12 1
   41.8343 1    42.5677 1    3049.82 1
   41.3334 0    43.1515 1    5519.95 1
   40.8005 0    42.4097 1    787.119 1
   42.0761 0    43.6027 1    20607.7 1
   42.1045 0    43.8039 1    11361.7 1
   42.2697 0    43.0939 1    4812.04 1
   41.0244 0    43.2491 1    4593.64 1
   42.2672 0    43.7745 1    23173.9 1
