    43.403 1    42.3953 0      32794 1
    44.049 1    42.7687 1    44354.6 1
   43.4405 1    42.0295 1     6561.4 1
   44.0696 1    42.6047 1    39735.6 1
   43.3386 1    42.5247 0    23745.8 1
   43.2894 1    42.6167 0    43471.9 1
   43.6406 1    42.4221 0    32797.3 1
   44.2879 1    43.1604 1      16328 1
   43.2958 1     42.605 0    35085.4 1
   43.0581 0    42.4211 0    29930.4 1
   43.8281 1    42.3733 1    10886.8 1
     43.83 1     42.671 1    25163.2 1
   42.9548 1    42.4227 0    27593.9 1
   43.3894 1    42.2319 0    27128.1 1
   43.1061 1    42.0978 0    12525.7 1
   43.5336 1    42.0917 1    4311.09 1
   43.2537 1    42.0587 1    9561.92 1
   43.4192 1    42.2093 1    12.7449 1
   42.5743 1    42.3764 1    13999.8 1
   43.0406 1    42.3848 1    20995.6 1
   42.6624 1    41.7506 1    12508.8 1
   43.8281 1    42.7295 1    37934.1 1
    44.391 1    42.7668 1    42143.9 1
   42.5198 1      42.27 0    10881.2 1
   43.7417 1    42.4756 1    16565.5 1
   43.2777 1    42.4368 1        484 1
   43.3452 1    42.2276 0    6177.67 1
   43.4689 1    41.3993 1    3304.38 1
   43.0887 0    42.4684 1    32009.8 1
    43.349 1    42.3549 1    1555.36 1
   43.0645 1    42.7761 1    5452.24 1
   43.9863 1    42.9614 1      45892 1
   44.2371 1    43.2212 1    45583.4 1
   43.9617 1    42.7572 1    12495.9 1
   43.2647 1    43.1916 0      21703 1
   43.6281 1    42.8958 1    12129.6 1
   43.3563 1    42.5018 1    15504.5 1
   42.9863 1    41.5929 1     2880.1 1
   42.7969 1    41.6828 0    4990.86 1
   42.9844 1    42.5263 0    9548.06 1
    43.525 1    42.7808 1    10856.2 1
   43.5113 1    42.8271 1    11931.5 1
   44.0137 1    42.8728 1    22736.8 1
   42.8493 1    42.6345 1    13353.4 1
   44.3914 1    42.9756 1    13195.3 1
   43.1618 1    42.6943 1    34597.2 1
   42.9658 1    42.0068 0    14738.9 1
   43.8926 1      42.32 1    4987.14 1
   43.5685 1    42.2991 1    9024.14 1
   44.1117 1    42.4226 1    7580.47 1
   43.5991 1    42.6173 1    2668.71 1
   43.6948 1    42.3501 1    5404.96 1
   42.6844 1    41.8278 1     650.25 1
   43.2142 1    42.1641 1    5379.15 1
    43.722 1    42.4047 1    2403.58 1
    43.334 1    42.3086 0    3673.06 1
   43.7136 1    42.7446 0    26520.5 1
   43.9881 1    42.6039 1    16282.3 1
   44.4791 1    42.8911 1    44872.4 1
   43.6992 1    42.6334 1    26074.6 1
   43.0807 1    42.3061 1      19789 1
   44.1765 1    42.4097 1    14967.4 1
   43.0287 1    42.1609 1    57.9121 1
   43.8377 1    43.0525 1    5569.04 1
    42.323 0    41.7783 0    3075.43 1
   43.3317 1    42.4398 1    7293.53 1
   43.7115 1    42.3435 1     6683.3 1
   43.3116 1    42.7349 1    13195.3 1
   44.0149 1    42.8523 1    9789.42 1
   42.4476 1    41.5962 0    6722.26 1
   42.9611 1    42.1027 1       5281 1
   44.1302 1    42.3077 1    5147.16 1
   43.0003 1    40.8348 1    1338.22 1
   43.4405 1    42.2192 1    17139.6 1
    44.321 1    42.6886 1    10737.2 1
   43.7571 1    42.4136 1      11883 1
   43.9244 1    42.9836 1    22909.7 1
   43.7828 1    42.1312 1    4627.59 1
   43.6936 1    42.5699 1    12779.1 1
   42.7982 1    42.3292 1    8619.42 1
   43.1688 1    42.5455 1    25460.7 1
   43.9878 1    43.0713 1    21756.1 1
   43.4229 1     41.717 1    3410.75 1
   43.4807 1    41.8801 1    2293.79 1
   43.6862 1    42.2432 1    11163.7 1
   43.7396 1    42.0406 1    3422.25 1
   43.1488 1    42.3114 0    20680.1 1
   43.4037 1    42.7253 1    36293.1 1
   42.7601 1    42.4072 0    24593.3 1
    42.219 1    41.0471 1     376.36 1
   43.3512 1    42.2675 1    3924.98 1
   43.0519 1     42.072 0    3462.01 1
   44.3459 1    43.1546 1        324 1
   43.5251 1    42.0067 1    1267.36 1
   42.7267 1    42.0769 1     566.44 1
   43.6862 1    42.2931 1     998.56 1
   43.2131 1    42.4555 1    3955.76 1
   44.3319 1    43.1258 1     665.64 1
   43.1593 1     42.072 1    1056.25 1
   43.9042 1    42.3453 1    2124.36 1
   43.4158 1    42.5566 1    2925.72 1
