   43.5353 1    43.6668 1    37934.1 1
   43.4675 1    44.0872 1    16119.5 1
    43.884 1    44.1516 1    26551.4 1
   42.8685 1     44.277 1    31168.3 1
   42.7364 0    43.5226 1    7564.34 1
   42.1202 1    42.0131 1     213.15 1
    42.604 1     42.769 1    2690.38 1
    43.403 1    43.7853 1      32794 1
    44.049 1    43.7473 1    44354.6 1
   43.6773 1    43.7394 1    41581.5 1
   43.8695 1     43.549 1    23602.8 1
   43.7197 1     43.811 1    25808.1 1
   43.4405 1    43.0808 1     6561.4 1
   43.3735 1    43.5894 1    25098.7 1
   44.0696 1    44.0567 1    39735.6 1
   43.1736 1    43.1781 1    2369.52 1
   42.3178 1    42.9456 1    4805.95 1
   43.3386 1    44.2393 1    23745.8 1
   43.4468 1    43.8913 1      22147 1
   43.2894 1    44.2626 1    43471.9 1
   43.6406 1    43.6813 1    32797.3 1
   43.9772 1     43.668 1    16581.6 1
   44.2879 1    43.8299 1      16328 1
   43.2441 0    43.9516 1    43090.3 1
   43.1501 1    44.0208 1    29742.3 1
   43.3967 1    43.6885 1    26761.2 1
   43.2958 1    43.9076 1    35085.4 1
   43.1164 1    43.5154 1      29586 1
   43.0581 0    43.6692 1    29930.4 1
   43.5851 1    43.7387 1    26551.4 1
   43.8281 1    43.5122 1    10886.8 1
    43.526 1    44.1266 1    20930.4 1
     43.83 1    43.8062 1    25163.2 1
   44.0545 1    43.4346 1    14626.4 1
   43.2573 1    43.0778 1      10081 1
    42.858 0    43.2358 1    15004.6 1
   43.3643 1     43.994 1    34109.2 1
   42.0366 0    42.7776 1    2789.95 1
   42.3648 0    43.3341 1    10458.6 1
   43.4564 0    44.0879 1    42521.1 1
   42.9548 1    43.7158 1    27593.9 1
   44.5688 1     44.166 1    39022.3 1
   43.3894 1    43.6556 1    27128.1 1
   42.9618 1    44.0056 1    18474.2 1
   43.7919 1    44.0003 1    34463.5 1
    43.558 1    42.7367 1    1959.21 1
   43.0969 1    43.7522 1    31197.1 1
   44.0857 1    43.8262 1    26727.1 1
   43.1061 1    43.3008 1    12525.7 1
   42.8704 0    43.1237 1    3888.31 1
   43.3267 1    43.5037 1    13425.5 1
   43.5016 1    43.5013 1    11908.2 1
   43.4541 1    43.7137 1    41054.6 1
   43.5336 1    43.1467 1    4311.09 1
   43.8029 1    44.8138 1    46391.5 1
   44.1697 1    44.3765 1    21009.9 1
   43.5126 1    43.6043 1    3103.11 1
   43.4923 1    43.6073 1    28837.3 1
   42.8453 1    43.9462 1    17245.3 1
   43.8612 1    44.2386 1    20624.5 1
