    43.403 1    43.7853 1      32794 1
    44.049 1    43.7473 1    44354.6 1
   43.7197 1     43.811 1    25808.1 1
   43.4405 1    43.0808 1     6561.4 1
   44.0696 1    44.0567 1    39735.6 1
   43.1736 1    43.1781 1    2369.52 1
   43.3386 1    44.2393 1    23745.8 1
   43.2894 1    44.2626 1    43471.9 1
   43.6406 1    43.6813 1    32797.3 1
   43.9772 1     43.668 1    16581.6 1
   44.2879 1    43.8299 1      16328 1
   43.2958 1    43.9076 1    35085.4 1
   43.0581 0    43.6692 1    29930.4 1
   43.8281 1    43.5122 1    10886.8 1
     43.83 1    43.8062 1    25163.2 1
    42.858 0    43.2358 1    15004.6 1
   42.9548 1    43.7158 1    27593.9 1
   43.3894 1    43.6556 1    27128.1 1
   43.1061 1    43.3008 1    12525.7 1
   42.8704 0    43.1237 1    3888.31 1
   43.5336 1    43.1467 1    4311.09 1
   43.2537 1    43.5295 1    9561.92 1
   42.5743 1    43.5153 1    13999.8 1
   43.0406 1    43.4056 1    20995.6 1
   42.6624 1    43.1325 1    12508.8 1
   43.8281 1    43.7787 1    37934.1 1
    44.391 1    43.7646 1    42143.9 1
   42.5198 1    43.4718 1    10881.2 1
   43.7417 1     43.747 1    16565.5 1
   43.8387 1    43.2555 1       5773 1
   43.3452 1    43.1983 1    6177.67 1
   43.4689 1    43.6474 1    3304.38 1
   43.0887 0    44.0331 1    32009.8 1
   43.0645 1    43.1698 1    5452.24 1
    43.195 1    43.9749 1    37102.6 1
   43.9863 1    43.9531 1      45892 1
   44.2371 1    43.6345 1    45583.4 1
   43.9617 1    43.1233 1    12495.9 1
   43.2647 1    43.9646 1      21703 1
   43.6281 1    43.9999 1    12129.6 1
   43.3563 1    43.5728 1    15504.5 1
   42.7969 1    43.2644 1    4990.86 1
   42.9844 1    43.4464 1    9548.06 1
   43.5113 1    44.1285 1    11931.5 1
   44.0137 1    43.6959 1    22736.8 1
   42.8493 1    43.3383 1    13353.4 1
   44.3914 1    43.6009 1    13195.3 1
   43.1618 1    43.7549 1    34597.2 1
   42.9658 1    43.3906 1    14738.9 1
   43.8926 1    43.0929 1    4987.14 1
   43.5685 1    43.7011 1    9024.14 1
   44.1117 1    43.1111 1    7580.47 1
   43.6948 1    43.0975 1    5404.96 1
   44.1245 1    43.2197 1    4972.27 1
   43.2142 1    43.4393 1    5379.15 1
    43.722 1    43.3209 1    2403.58 1
   43.7136 1     43.548 1    26520.5 1
   43.9881 1    43.3912 1    16282.3 1
   44.4791 1    44.0189 1    44872.4 1
   43.6992 1    44.1102 1    26074.6 1
   43.0807 1    43.7647 1      19789 1
   44.1765 1    43.9355 1    14967.4 1
   43.8377 1    43.1847 1    5569.04 1
   43.3317 1    43.5527 1    7293.53 1
   43.7115 1    43.0502 1     6683.3 1
   43.3116 1    43.2124 1    13195.3 1
   44.0149 1    43.5844 1    9789.42 1
   42.9611 1    43.2185 1       5281 1
   44.1302 1     43.275 1    5147.16 1
   43.0003 1    43.5089 1    1338.22 1
   43.4405 1    43.3923 1    17139.6 1
    44.321 1    43.2339 1    10737.2 1
   43.7571 1    43.3742 1      11883 1
   43.9244 1     43.621 1    22909.7 1
   44.2566 1    43.5288 1    3620.23 1
   43.6936 1    43.3318 1    12779.1 1
   42.7982 1    43.3113 1    8619.42 1
   43.1688 1     43.733 1    25460.7 1
   43.9878 1    43.5273 1    21756.1 1
   43.4229 1    43.3476 1    3410.75 1
   43.6862 1    43.4733 1    11163.7 1
   43.7396 1    43.7627 1    3422.25 1
   43.2463 1    43.8999 1    4242.31 1
   43.1488 1    43.9052 1    20680.1 1
   43.4037 1    43.5932 1    36293.1 1
   42.7601 1    43.6067 1    24593.3 1
   43.0519 1    43.1819 1    3462.01 1
   43.5251 1    43.6858 1    1267.36 1
   43.1593 1     43.023 1    1056.25 1
   43.9042 1    43.3429 1    2124.36 1
   43.2962 1    43.1916 1    5784.37 1
    43.769 1    43.7684 1     2601.1 1
    43.046 1    43.8882 1    12041.6 1
   44.0263 1    43.2472 1    7218.38 1
   43.5104 1    43.2254 1    8977.12 1
   43.2449 1     44.141 1    10026.8 1
   43.2919 1    43.1341 1     470.89 1
   44.1749 1    43.0923 1     5368.2 1
   44.0444 1    43.3566 1    11841.4 1
   44.3986 1    43.8023 1    12097.3 1
   45.1936 1    43.9949 1    11409.1 1
   44.2488 1    43.4896 1    13401.8 1
   43.6257 1    43.3725 1    1149.21 1
   44.4021 1    43.0009 1    5531.06 1
   42.9652 1    43.5225 1    3465.61 1
   43.5135 1    43.9153 1    44821.8 1
   43.3831 1    43.6722 1    48191.7 1
   43.8922 1    43.2691 1    8025.12 1
   44.0296 1    43.2787 1    11905.3 1
   44.2956 1    43.7254 1    25896.7 1
   43.6309 1    43.4729 1    16290.3 1
   43.9007 1    43.8827 1    33132.7 1
   43.7018 1     43.497 1    15304.8 1
   43.5216 1    43.0977 1    5435.38 1
    43.133 1    43.1342 1    5732.97 1
   44.5471 1    43.6475 1    33343.4 1
    42.939 1    43.4757 1    6108.67 1
