           ******* TWO SAMPLE TEST ******
    
        TITLE : L500 Seyferts                                                                   
    
        DATA SET : two_sampl
        VARIABLE : L500     
        TESTED GROUPS ARE Sy 1      AND Sy 2     
     
      # OF DATA POINTS : 306, # OF UPPER LIMITS : 166
      # OF DATA POINTS IN GROUP I  : 149
      # OF DATA POINTS IN GROUP II : 157
     
 DISTINCT FAILURES         R(I)            M(I)        M(I)/R(I)         H(I)
     
           43.461        306.000          1.000          0.003          1.000
     
           43.257        304.000          1.000          0.003          0.997
     
           43.104        303.000          1.000          0.003          0.993
     
           42.824        301.000          1.000          0.003          0.990
     
           42.777        300.000          1.000          0.003          0.987
     
           42.761        298.000          1.000          0.003          0.984
     
           42.728        297.000          1.000          0.003          0.980
     
           42.633        296.000          1.000          0.003          0.977
     
           42.611        295.000          1.000          0.003          0.974
     
           42.578        292.000          1.000          0.003          0.970
     
           42.568        291.000          1.000          0.003          0.967
     
           42.537        289.000          1.000          0.003          0.964
     
           42.532        288.000          1.000          0.003          0.960
     
           42.523        287.000          1.000          0.003          0.957
     
           42.519        286.000          1.000          0.003          0.954
     
           42.510        285.000          1.000          0.004          0.950
     
           42.509        284.000          1.000          0.004          0.947
     
           42.493        283.000          1.000          0.004          0.944
     
           42.471        281.000          1.000          0.004          0.940
     
           42.470        280.000          1.000          0.004          0.937
     
           42.458        279.000          1.000          0.004          0.934
     
           42.447        278.000          1.000          0.004          0.930
     
           42.441        277.000          1.000          0.004          0.927
     
           42.435        276.000          1.000          0.004          0.924
     
           42.386        268.000          1.000          0.004          0.920
     
           42.363        266.000          1.000          0.004          0.917
     
           42.358        264.000          1.000          0.004          0.913
     
           42.352        262.000          1.000          0.004          0.910
     
           42.347        261.000          1.000          0.004          0.907
     
           42.322        256.000          1.000          0.004          0.903
     
           42.319        255.000          1.000          0.004          0.900
     
           42.316        254.000          1.000          0.004          0.896
     
           42.311        252.000          1.000          0.004          0.892
     
           42.303        250.000          1.000          0.004          0.889
     
           42.299        247.000          1.000          0.004          0.885
     
           42.298        246.000          1.000          0.004          0.882
     
           42.294        245.000          1.000          0.004          0.878
     
           42.282        240.000          1.000          0.004          0.875
     
