           ******* TWO SAMPLE TEST ******
    
        TITLE : L500 Seyferts                                                                   
    
        DATA SET : two_sampl
        VARIABLE : L500     
        TESTED GROUPS ARE Sy1       AND Sy2      
     
      # OF DATA POINTS : 261, # OF UPPER LIMITS : 138
      # OF DATA POINTS IN GROUP I  : 125
      # OF DATA POINTS IN GROUP II : 136
     
 DISTINCT FAILURES         R(I)            M(I)        M(I)/R(I)         H(I)
     
           43.264        260.000          1.000          0.004          1.000
     
           43.122        259.000          1.000          0.004          0.996
     
           42.821        257.000          1.000          0.004          0.992
     
           42.814        256.000          1.000          0.004          0.988
     
           42.683        253.000          1.000          0.004          0.985
     
           42.646        251.000          1.000          0.004          0.981
     
           42.613        249.000          1.000          0.004          0.977
     
           42.588        247.000          1.000          0.004          0.973
     
           42.559        245.000          1.000          0.004          0.969
     
           42.550        244.000          1.000          0.004          0.965
     
           42.519        242.000          1.000          0.004          0.961
     
           42.512        241.000          1.000          0.004          0.957
     
           42.510        240.000          1.000          0.004          0.953
     
           42.510        239.000          1.000          0.004          0.949
     
           42.508        238.000          1.000          0.004          0.945
     
           42.494        235.000          1.000          0.004          0.941
     
           42.463        234.000          1.000          0.004          0.937
     
           42.454        231.000          1.000          0.004          0.933
     
           42.452        230.000          1.000          0.004          0.929
     
           42.423        227.000          1.000          0.004          0.925
     
           42.410        225.000          1.000          0.004          0.921
     
           42.406        223.000          1.000          0.004          0.917
     
           42.401        222.000          1.000          0.005          0.913
     
           42.392        220.000          1.000          0.005          0.909
     
           42.374        217.000          1.000          0.005          0.905
     
           42.369        215.000          1.000          0.005          0.900
     
           42.350        213.000          1.000          0.005          0.896
     
           42.348        212.000          1.000          0.005          0.892
     
           42.345        210.000          1.000          0.005          0.888
     
           42.323        206.000          1.000          0.005          0.884
     
           42.305        203.000          1.000          0.005          0.879
     
           42.295        201.000          1.000          0.005          0.875
     
           42.284        199.000          1.000          0.005          0.871
     
           42.260        196.000          1.000          0.005          0.866
     
           42.251        194.000          1.000          0.005          0.862
     
           42.245        193.000          1.000          0.005          0.857
     
           42.235        191.000          1.000          0.005          0.853
     
           42.225        190.000          1.000          0.005          0.848
     
           42.210        187.000          1.000          0.005          0.844
     
           42.203        186.000          1.000          0.005          0.839
     
